Date,Open,High,Low,Close,Volume
1/2/2019 16:00:00,72.79,74.64,72.19,74.06,6762678
1/3/2019 16:00:00,73.25,73.32,71.21,72.75,8007384
1/4/2019 16:00:00,73.45,75.12,73.12,74.65,7844239
1/7/2019 16:00:00,74.74,76.36,74.3,75.72,8184786
1/8/2019 16:00:00,76.83,77.4,76.2,76.73,8808978
1/9/2019 16:00:00,76.97,77.15,76.14,76.59,8590991
1/10/2019 16:00:00,75.64,77.34,75.46,76.42,11148593
1/11/2019 16:00:00,76.34,76.89,75.8,76.04,10689863
1/14/2019 16:00:00,75.46,76.81,75.46,76.09,5677442
1/15/2019 16:00:00,76.19,77.98,76.13,77.88,6212364
1/16/2019 16:00:00,78,78.85,77.59,77.68,5697149
1/17/2019 16:00:00,77.54,79.4,77.31,79.13,7737292
1/18/2019 16:00:00,79.95,80.97,79.74,80.45,10404132
1/22/2019 16:00:00,80.33,81.31,80.2,80.75,8781678
1/23/2019 16:00:00,81.19,81.4,80.22,80.5,5822957
1/24/2019 16:00:00,80.6,80.87,79.55,80.44,4753325
1/25/2019 16:00:00,81.25,81.33,80.43,80.61,4457072
1/28/2019 16:00:00,79.8,80.51,79.74,80.32,5451971
1/29/2019 16:00:00,80.36,80.83,79.84,80.22,4187527
1/30/2019 16:00:00,80.4,81.29,80.06,81.28,5200226
1/31/2019 16:00:00,81.18,81.95,80.71,81.88,8599206
2/1/2019 16:00:00,81.83,81.9,81.13,81.51,5351916
2/4/2019 16:00:00,81.22,82,80.83,81.99,4236583
2/5/2019 16:00:00,81.98,83.19,81.93,82.86,6545577
2/6/2019 16:00:00,82.51,82.71,81.64,82.71,3682813
2/7/2019 16:00:00,82.15,82.85,81.71,82.39,4827485
2/8/2019 16:00:00,82.25,82.72,81.94,82.36,3786588
2/11/2019 16:00:00,82.95,83.83,82.87,83.68,6158533
2/12/2019 16:00:00,83.97,84.84,83.62,84.71,6290259
2/13/2019 16:00:00,84.76,85.59,84.76,85.4,5032812
2/14/2019 16:00:00,84.61,85.14,83.7,84.68,5179036
2/15/2019 16:00:00,85.49,85.78,85.1,85.38,6111250
2/19/2019 16:00:00,84.58,85.05,84.46,84.57,5105894
2/20/2019 16:00:00,84.63,84.95,84.35,84.84,6436096
2/21/2019 16:00:00,83.57,84.15,83.35,83.95,8579155
2/22/2019 16:00:00,84.2,85.02,84.03,84.76,4449747
2/25/2019 16:00:00,85.39,85.73,84.96,85.17,6229652
2/26/2019 16:00:00,85.31,86.08,85.2,85.8,6678802
2/27/2019 16:00:00,85.53,86.22,85.06,86.17,4588351
2/28/2019 16:00:00,86.08,86.4,85.68,85.73,4988146
3/1/2019 16:00:00,86.93,87.99,86.24,87.16,6315062
3/4/2019 16:00:00,87.32,87.99,85.11,85.64,7339569
3/5/2019 16:00:00,85.88,86.25,85.44,85.44,4976324
3/6/2019 16:00:00,85.6,85.99,85.04,85.13,3198110
3/7/2019 16:00:00,84.97,85.41,84.66,85.26,4321788
3/8/2019 16:00:00,84.58,84.88,84.02,84.8,4669677
3/11/2019 16:00:00,85.39,85.94,85.05,85.82,3999751
3/12/2019 16:00:00,85.78,86.08,85.02,85.43,4431552
3/13/2019 16:00:00,85.7,86.66,85.6,85.93,5037858
3/14/2019 16:00:00,86.15,86.88,85.7,86.87,5906100
3/15/2019 16:00:00,87.22,87.61,85.96,86.8,11031386
3/18/2019 16:00:00,87.3,87.84,87,87.82,7750711
3/19/2019 16:00:00,88.22,88.59,87.29,87.69,6642156
3/20/2019 16:00:00,87.5,87.58,86.09,86.69,5991484
3/21/2019 16:00:00,87.24,88.12,86.83,88.01,10386937
3/22/2019 16:00:00,85.2,85.9,82.15,82.19,21659776
3/25/2019 16:00:00,81.48,83.22,80.89,82.33,15558297
3/26/2019 16:00:00,83.63,84.09,82.91,83.38,9611895
3/27/2019 16:00:00,83.69,83.8,82.04,83.09,6485079
3/28/2019 16:00:00,83.93,84.72,83.7,84.04,6032651
3/29/2019 16:00:00,84.6,84.85,83.86,84.21,6492022
4/1/2019 16:00:00,85.04,85.32,84.7,85.23,6737429
4/2/2019 16:00:00,85,85.26,84.16,84.37,4433849
4/3/2019 16:00:00,84.9,84.99,84.25,84.47,4080926
4/4/2019 16:00:00,84.49,85.38,84.36,85.28,3660677
4/5/2019 16:00:00,86,86.16,85.05,85.4,7367351
4/8/2019 16:00:00,85.01,85.29,84.57,84.73,4705846
4/9/2019 16:00:00,84.22,84.6,83.97,84.28,3804527
4/10/2019 16:00:00,84.64,85.01,84.56,84.88,3918379
4/11/2019 16:00:00,84.9,85.05,84.28,85,3347649
4/12/2019 16:00:00,85.3,86.49,85.29,86.24,6037028
4/15/2019 16:00:00,86.89,87.24,86.44,86.83,5035211
4/16/2019 16:00:00,87,87.95,87,87.8,4652727
4/17/2019 16:00:00,87.95,88.97,87.45,88.73,5694880
4/18/2019 16:00:00,88.76,90,88.7,89.2,7016564
4/22/2019 16:00:00,88.35,88.64,87.3,87.36,5390519
4/23/2019 16:00:00,87.57,87.67,87.01,87.43,7513959
4/24/2019 16:00:00,87.67,88.82,87.43,88.39,8062966
4/25/2019 16:00:00,88.4,88.54,87.49,87.56,7069867
4/26/2019 16:00:00,87.95,88.94,87.33,88.31,6219557
4/29/2019 16:00:00,88.18,88.51,88.13,88.26,5008453
4/30/2019 16:00:00,88.29,88.4,87.26,87.83,7614083
5/1/2019 16:00:00,87.73,87.95,85.87,85.9,6524576
5/2/2019 16:00:00,86.21,86.28,84.99,85.27,6813740
5/3/2019 16:00:00,85.9,86.3,85.7,85.7,6798283
5/6/2019 16:00:00,83.77,83.87,82.86,83.57,12836646
5/7/2019 16:00:00,83.02,83.63,81.83,82.54,9811257
5/8/2019 16:00:00,82.43,83.99,82.14,82.77,9501257
5/9/2019 16:00:00,82.21,83.01,81.54,82.98,6336567
5/10/2019 16:00:00,82.78,84.27,82.19,83.95,5450504
5/13/2019 16:00:00,81.65,82.63,81.32,82.53,6445267
5/14/2019 16:00:00,82.78,84,82.06,83.67,7529248
5/15/2019 16:00:00,83.17,84.49,82.94,84.01,4862202
5/16/2019 16:00:00,84.51,85.4,84.2,84.28,6745317
